,kingdom,phylum,class,order,family,genus
32,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Cirsium
33,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Solidago
34,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Symphyotrichum
35,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Cardamine
36,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,Cylindropuntia
37,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,Opuntia
38,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Caryophyllaceae,Silene
39,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,Persicaria
40,Plantae,Tracheophyta,Magnoliopsida,Cornales,Cornaceae,Cornus
41,Plantae,Tracheophyta,Magnoliopsida,Dipsacales,Caprifoliaceae,Lonicera
42,Plantae,Tracheophyta,Magnoliopsida,Dipsacales,Viburnaceae,Viburnum
43,Plantae,Tracheophyta,Magnoliopsida,Ericales,Ericaceae,Vaccinium
44,Plantae,Tracheophyta,Magnoliopsida,Ericales,Primulaceae,Lysimachia
45,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Lupinus
46,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Trifolium
47,Plantae,Tracheophyta,Magnoliopsida,Fagales,Fagaceae,Quercus
48,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Asclepias
49,Plantae,Tracheophyta,Magnoliopsida,Geraniales,Geraniaceae,Geranium
50,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Salvia
51,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Orobanchaceae,Castilleja
52,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Plantaginaceae,Penstemon
53,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Plantaginaceae,Veronica
54,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Verbenaceae,Verbena
55,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Euphorbia
56,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Violaceae,Viola
57,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Onagraceae,Oenothera
58,Plantae,Tracheophyta,Magnoliopsida,Oxalidales,Oxalidaceae,Oxalis
59,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Anemone
60,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Clematis
61,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Ranunculus
62,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Potentilla
63,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Prunus
64,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosa
65,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rubus
66,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Acer
67,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Grossulariaceae,Ribes
68,Plantae,Tracheophyta,Magnoliopsida,Solanales,Convolvulaceae,Ipomoea
69,Plantae,Tracheophyta,Magnoliopsida,Solanales,Solanaceae,Solanum
70,Plantae,Tracheophyta,Pinopsida,Pinales,Pinaceae,Pinus
71,Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Aspleniaceae,Asplenium
